0,1,2,3,4
0.9999,0.9999,0.9999,0.9999,0.9999
0.0024451755833970303,0.002334561046079088,0.002293856924767197,0.0021468517539456554,0.0024451755833970277
0.00025984473801622806,0.00010931785929223899,7.30233651888041e-05,8.690694496555951e-05,0.00025984473801622985
0.00012499462981816015,5.7433086055583805e-05,9.95226907693602e-05,9.988397214674224e-05,0.0001249946298181635
7.742369119848187e-05,4.349843176164454e-05,9.998732946874688e-05,9.99984589515074e-05,7.742369119848349e-05
5.238437932867422e-05,3.2780934194327264e-05,9.999949573867204e-05,9.999996931393729e-05,5.2384379328676114e-05
3.665981984875116e-05,2.4154919159465187e-05,9.999996990356515e-05,9.99999990834969e-05,3.66598198487523e-05
2.5955766061196186e-05,1.750416074739303e-05,9.999999730616478e-05,9.999999995893022e-05,2.5955766061176264e-05
1.8407469327999304e-05,1.2526514134458635e-05,9.999999963865082e-05,9.999999999723861e-05,1.8407469327998572e-05
1.3013478013967648e-05,8.87210486582664e-06,9.999999992751084e-05,9.999999999972153e-05,1.3013478013967146e-05
9.150525787467783e-06,6.227182198857069e-06,9.999999997836403e-05,9.999999999995794e-05,9.150525787466604e-06
6.393723367607734e-06,4.335636075014008e-06,9.999999999050266e-05,9.99999999999905e-05,6.393723367607233e-06
4.4387546716554495e-06,2.9971858551974416e-06,9.999999999401579e-05,9.999999999999683e-05,4.438754671655436e-06
3.062795954001391e-06,2.0591248582772158e-06,9.99999999948273e-05,9.999999999999845e-05,3.0627959540010656e-06
2.101806126376344e-06,1.407242289882041e-06,9.999999999428027e-05,9.999999999999892e-05,2.101806126375246e-06
1.4355211716012798e-06,9.575591296567023e-07,9.999999999254827e-05,9.9999999999999e-05,1.4355211716012662e-06
9.765780292397602e-07,6.492836116860567e-07,9.999999998934743e-05,9.999999999999883e-05,9.76578029239435e-07
6.622272135510488e-07,4.3902991763823207e-07,9.99999999840542e-05,9.999999999999842e-05,6.622272135513063e-07
4.4791855363162595e-07,2.9622064888653026e-07,9.999999997563133e-05,9.999999999999771e-05,4.479185536307315e-07
3.0236457319987435e-07,1.9953576664174762e-07,9.999999996244212e-05,9.999999999999656e-05,3.0236457319837e-07
2.0380151520924949e-07,1.342420610004984e-07,9.999999994194363e-05,9.999999999999473e-05,2.0380151520857186e-07
1.3721224514980242e-07,9.023151630563233e-08,9.999999991020962e-05,9.999999999999187e-05,1.3721224514848783e-07
9.230301987477496e-08,6.060891634461583e-08,9.99999998611971e-05,9.999999999998744e-05,9.230301987515443e-08
6.205477112266916e-08,4.069152271907151e-08,9.999999978562377e-05,9.99999999999806e-05,6.20547711231164e-08
4.1700865017316765e-08,2.7309917710789406e-08,9.999999966925296e-05,9.999999999997004e-05,4.1700865017682684e-08
2.8014370442682097e-08,1.832440326144096e-08,9.99999994902767e-05,9.999999999995379e-05,2.8014370443197093e-08
1.8815822673358732e-08,1.2293180704430829e-08,9.999999921532835e-05,9.999999999992877e-05,1.8815822673643335e-08
1.2635767894953343e-08,8.246064457415156e-09,9.999999879341335e-05,9.999999999989034e-05,1.263576789483137e-08
8.48471900978e-09,5.530873622633446e-09,9.999999814668175e-05,9.999999999983136e-05,8.484719009061717e-09
5.696996423356715e-09,3.709514293244562e-09,9.999999715641411e-05,9.999999999974095e-05,5.6969964227197465e-09
3.825057433932879e-09,2.487854648000284e-09,9.99999956417609e-05,9.999999999960247e-05,3.825057433092622e-09
2.5681548916140677e-09,1.6684895182188459e-09,9.999999332752283e-05,9.999999999939064e-05,2.5681548904214454e-09
1.7242536598819844e-09,1.1189653101258178e-09,9.999998979537548e-05,9.999999999906695e-05,1.7242536590823853e-09
1.1576616118632796e-09,7.504251131357654e-10,9.99999844101092e-05,9.999999999857284e-05,1.1576616114567038e-09
